Gene Name	SRR867740	SRR867737	SRR867735	SRR867739	SRR867736	SRR867738
RHBDD2	1415	927	960	713	1251	1084
SOX8	0	3	0	0	0	0
IBTK	2605	1843	1776	1321	2197	1716
ZNF195	968	651	627	546	825	677
MYCBP2	7862	4683	4649	3917	5760	5415
FBXL3	1907	1158	1178	1065	1482	1224
ITGAL	3	2	2	2	1	0
PDK2	432	241	202	200	284	321
ITGA3	13019	8655	8779	6772	9975	9992
ZFX	8487	4246	4031	4326	5205	5739
LAMP2	6163	3733	3669	3097	4428	3973
ITGA2B	8	10	2	9	2	20
ASB4	7	3	2	5	0	6
GDE1	2343	1629	1538	1248	1982	1612
REX1BD	764	602	639	426	539	675
CRLF1	710	895	948	363	1134	576
OSBPL7	840	566	471	482	618	716
TMEM98	0	4	0	0	0	0
YBX2	5	7	2	7	2	10
KRT33A	0	0	0	0	1	0
MAP3K14	547	657	720	296	670	448
ABCC8	79	24	17	36	23	81
CACNG3	3	4	1	5	2	6
TMEM132A	3914	2296	2478	2173	2373	3235
AP2B1	5829	4475	4492	2880	5833	4081
TAC1	0	0	0	0	0	0
ZNF263	1269	913	858	646	1131	870
CX3CL1	0	8	0	0	0	1
SPATA20	1472	998	932	774	1175	1111
CACNA1G	164	108	80	88	109	138
TNFRSF12A	3037	3355	4479	1762	3904	2351
DLX6	93	55	68	43	77	84
MAP3K9	509	333	318	272	421	369
RALA	880	784	1027	438	966	571
BAIAP2L1	566	310	338	306	361	428
KDM7A	207	131	113	99	108	114
ETV1	443	137	138	231	182	339
AGK	747	574	566	424	757	518
ALDH3B1	4012	2552	2388	2172	3029	3148
TTC22	12	10	2	6	3	11
PHTF2	1282	955	917	630	1211	823
CCL26	8	13	12	5	12	9
FARP2	1463	1117	1105	763	1376	1031
USH1C	492	17	11	244	22	375
GGCT	748	695	773	366	794	540
DBF4	974	618	639	432	868	539
TBXA2R	392	374	417	194	367	327
IFRD1	3027	2376	2435	1562	2868	2012
LGALS14	0	2	0	0	0	0
COX10	707	653	580	374	814	534
GTF2IRD1	1845	1431	1511	878	1611	1462
PAF1	2094	1604	1734	1129	1528	1675
VPS41	1499	1403	1345	825	1689	1009
ARHGAP44	333	175	129	159	171	250
ELAC2	2929	2816	2708	1523	2990	2234
SCIN	283	73	58	135	70	199
ARSD	0	0	0	0	1	0
PNPLA4	150	115	94	65	125	92
MYH13	0	3	0	0	0	0
ADIPOR2	2120	1430	1469	1083	1908	1559
CDKL3	13	10	11	5	4	12
UPP2	0	3	0	0	0	0
PRSS21	2956	2392	2449	1720	2887	2555
MARK4	390	220	294	180	215	349
PROM1	3	3	4	1	5	4
CCDC124	707	688	874	374	497	573
CEACAM21	0	3	0	0	0	0
PAFAH1B1	3051	2205	2256	1515	2841	2141
NOS2	2	5	1	2	0	1
DNAH9	1	15	1	0	4	1
KIAA0100	5045	4636	4251	2385	5363	3768
SLC13A2	0	1	1	0	0	1
GAS7	100	45	44	32	52	46
TRAPPC6A	38	16	9	20	12	37
MATK	5	4	2	4	4	2
CEACAM7	0	0	0	0	0	0
CD79B	0	1	1	0	0	0
SCN4A	0	14	2	0	2	1
ST7L	561	364	391	300	445	373
TKTL1	0	2	1	0	0	0
PAX6	1173	531	549	577	696	847
RPUSD1	1425	1291	1433	808	1658	1224
RHBDF1	813	560	464	388	579	652
LUC7L	1185	706	811	631	863	869
CACNA2D2	5	9	3	0	2	12
BAIAP3	76	42	58	20	35	46
TSR3	824	790	923	398	789	572
PIGQ	913	681	678	511	831	791
CRAMP1	372	279	268	173	260	252
TEAD3	560	404	415	280	420	438
SELE	0	6	0	0	0	0
DNAJC11	1326	1178	1253	694	1250	993
FMO3	3	2	1	0	3	1
MYLIP	369	127	139	191	178	286
NOX1	7	6	5	4	7	9
E2F2	667	432	442	379	502	611
PSMB1	4448	3793	3411	2239	4156	2854
SYN1	21	2	3	9	7	8
JARID2	1179	683	656	517	764	846
CDKL5	1842	839	821	959	1060	1285
CAMK1G	6	8	2	6	2	4
CDK11A	43	22	20	19	24	42
NADK	2797	1770	1788	1468	2001	2040
TFAP2B	0	4	0	0	0	0
TFAP2D	0	0	0	0	0	0
DLEC1	20	11	6	10	5	13
CYTH3	1464	1780	1992	699	2029	1042
ADAM22	324	204	176	176	192	227
SYPL1	1419	937	956	760	1198	939
CYB561	1015	967	1021	504	1173	765
SPAG9	4424	3417	3340	2330	4016	3068
CELSR3	3180	1897	1978	1546	1913	2604
AASS	470	301	298	220	368	285
PLEKHG6	47	13	15	20	20	31
SS18L2	573	476	419	300	503	359
MPND	71	38	41	34	39	61
MGST1	2200	1480	1816	1113	1903	1413
CRY1	485	450	426	258	505	299
PGLYRP1	0	5	4	5	1	6
NFIX	366	246	267	187	282	301
ST3GAL1	2545	2485	2423	1315	3058	1862
MMP25	19	8	3	6	8	6
IL32	510	199	226	257	271	330
PKD1	2574	1570	1452	1185	1644	2244
MAPK8IP2	182	194	196	100	182	140
MED24	2400	1979	2017	1206	2205	1772
RHOBTB2	871	567	668	440	574	659
HEATR5B	821	594	518	403	699	570
SEC62	2825	2494	3005	1507	3014	1892
RPS20	7455	5657	5683	3615	5936	4933
CSDE1	16095	11147	11141	8092	13565	10670
UBE3C	3146	2627	2582	1561	3293	2244
REV3L	2452	1300	1350	1279	1785	1603
TENM1	540	179	138	218	191	371
PAX7	1	7	0	0	0	0
MASP2	24	18	5	9	17	24
IYD	1	8	0	0	1	1
FAM76A	567	341	383	295	447	371
TRAF3IP3	1	8	2	2	0	4
POMT2	830	709	682	393	835	639
VTA1	1928	1360	1315	986	1688	1238
MLXIPL	21	6	10	9	5	20
BAZ1B	7454	5416	5919	3913	6429	5655
RANBP9	1425	836	811	684	968	910
ETV7	380	192	217	179	177	257
SPRTN	682	503	498	354	619	457
EEF1AKNMT	1659	1515	1493	833	1459	1283
DYRK4	299	222	219	189	257	196
ZNF207	4218	3178	2943	2248	4124	3044
UQCRC1	5966	5051	4615	3160	5805	4478
STARD3NL	1006	948	1014	575	1217	736
CD9	2517	1632	1664	1290	2152	1662
HHATL	0	5	0	0	0	0
NCAPD2	5070	4664	4718	2442	5137	3776
IFFO1	104	65	30	27	57	64
GIPR	34	14	16	25	12	26
PHF7	30	23	20	22	12	18
SEMA3G	17	26	29	10	18	11
NISCH	1555	1141	1030	762	1146	1235
STAB1	17	14	9	6	5	17
FUZ	335	174	186	180	206	230
SLC6A13	0	4	1	0	0	3
IDS	1082	746	877	557	983	773
PRSS3	12	18	13	8	16	14
ZNF200	783	497	457	407	596	545
CD4	15	13	8	6	7	12
LRRC23	155	90	95	71	117	101
BTK	4	6	6	0	1	3
HFE	460	263	248	254	301	372
SCMH1	788	481	534	415	651	601
FYN	717	632	559	327	689	484
HIVEP2	1075	633	701	562	799	733
FMO1	3	6	4	0	2	2
ELOA	2361	1820	1958	1205	2143	1654
LYPLA2	1469	948	971	788	1269	1129
CLCN6	615	406	327	289	492	474
MRC2	2813	2366	2539	1496	2689	2324
NME1-NME2	0	0	0	0	0	0
SLC6A7	10	2	1	10	3	15
TSPAN9	315	258	258	180	254	246
BTBD7	791	622	538	374	726	570
APBA3	278	232	234	136	266	228
MKS1	305	273	249	149	284	265
ABHD5	2056	1663	1685	1078	2221	1405
ANOS1	492	268	284	229	352	344
AKAP8L	1398	1006	972	679	995	1070
MBTD1	485	250	242	243	329	337
UTP18	1143	911	1087	579	1000	816
RNF216	1900	1521	1481	901	1701	1342
TTC19	865	673	685	445	821	650
PTBP1	6390	5468	6638	3258	6290	4843
DPF1	100	80	77	62	76	85
SYT7	17	18	12	9	12	20
LARS2	2050	1957	1831	1064	2175	1453
PIK3C2A	3610	2421	2718	1837	3100	2394
PLAUR	3329	1265	1296	1749	1511	2529
ANLN	7825	7515	7484	3935	9996	5166
WIZ	846	621	730	389	765	596
RABGAP1	1774	1047	911	869	1344	1226
DCN	420	251	286	206	361	268
QPCTL	543	370	373	292	420	438
PPP5C	2357	1931	1790	1086	1931	1768
CEP68	270	173	213	132	245	231
MAP4K3	893	505	560	440	608	541
ZBTB32	52	25	19	28	18	51
TYROBP	0	0	0	0	0	0
TMEM159	242	138	136	116	150	150
GABRA3	279	146	154	140	210	217
BRCA1	2762	2012	2024	1353	2317	1855
ERCC1	1223	888	946	665	1100	973
CD22	2	4	3	0	5	2
SEMA3B	3181	1615	1498	1842	1776	2686
MBTPS2	693	440	497	350	545	494
PRICKLE3	176	104	132	92	110	161
LTF	49	12	12	24	15	20
EXTL3	1456	964	972	717	1125	1006
NR1H4	0	4	0	0	0	1
ELOVL5	3403	2266	2307	1709	2800	2286
ALOX5	11	10	2	4	4	5
KDM5D	0	4	0	1	0	0
CALCOCO1	3483	1492	1458	1893	1880	2597
UBR7	1552	919	884	768	1228	1017
MAP4K5	1980	1755	1851	968	2201	1235
EHD3	105	89	62	53	71	66
PSMC4	3346	2895	2746	1697	3279	2488
MAN2B2	1270	557	560	601	595	1013
SLC7A14	0	7	1	1	1	0
CLDN11	19	34	30	17	41	14
SLC25A39	1911	1998	2089	1040	2514	1666
MVP	8055	5936	6248	4265	6477	6149
NUB1	4381	2485	2852	2245	3375	2929
PGM3	2620	1601	1412	1358	1795	1801
RWDD2A	158	82	82	85	96	109
CLK1	1557	700	651	828	851	1020
POLR3B	644	574	541	294	591	407
ANGEL1	282	226	244	156	296	260
RNF14	1231	955	867	660	1206	800
DNASE1L1	497	305	308	248	407	376
DDX11	1357	929	896	688	906	1000
HEBP1	190	130	143	87	159	127
GPRC5A	6609	7718	7868	3264	10665	4959
MAMLD1	117	68	74	48	65	88
CD6	0	6	1	0	0	2
TACC3	688	751	893	354	612	574
UFL1	1066	585	633	554	725	602
POLA2	357	314	293	187	312	296
ZC3H3	375	222	273	165	259	280
CAPN1	4933	3371	3620	2460	3791	3830
ACP3	1	7	7	3	4	1
MDH1	3846	3309	2831	2066	3693	2521
SLC30A9	2226	1274	1354	1220	1660	1465
MTMR11	756	307	316	348	381	532
COX15	1029	837	876	559	1036	748
CCDC88C	415	363	365	231	355	327
YAF2	429	228	195	193	233	242
ZMYND11	1408	1086	1057	724	1291	994
WAS	2	1	2	4	1	5
DPEP1	1	4	3	2	1	1
BID	697	595	579	364	681	498
NPC1L1	0	1	0	0	0	1
XYLT2	1420	1030	1114	727	1159	1077
RGPD5	2	1	0	0	2	3
STMN4	0	1	0	1	0	1
NUDCD3	2387	1808	1605	1252	2005	1845
ISL1	639	382	372	351	475	501
CHDH	90	49	57	50	52	72
IL20RA	22	32	22	6	27	10
CLCA1	0	0	0	0	0	0
CLCA4	0	0	0	0	0	0
GLT8D1	1187	871	791	612	1030	861
ATP2C1	2708	2369	2350	1320	2659	1758
IGF1	29	17	17	15	20	22
SLC38A5	10312	7290	7121	5501	9275	8145
RALBP1	1672	1310	1419	912	1568	1116
RUFY3	486	256	267	264	328	307
CNTN1	13	2	0	7	3	6
SLC11A1	19	13	8	10	8	14
WWTR1	896	547	604	456	632	616
AGPS	4533	3406	3565	2292	4264	3011
ZNF806	0	2	0	0	0	0
STEEP1	902	667	729	527	842	656
ATP1A2	1	9	7	0	4	4
TTC27	596	617	520	308	709	422
ZNF582	0	4	0	0	0	1
VSIG2	2	1	0	0	1	1
PHLDB1	1468	1237	1388	746	1308	1115
MARCO	1	3	2	0	1	0
CYP24A1	266	47	51	121	76	220
PRDM11	757	557	596	395	663	572
SYT13	10	7	3	5	2	6
SNAI2	613	517	519	331	594	480
CD74	194	30	31	113	35	171
HGF	1	4	0	0	3	0
ZRANB1	703	546	535	359	619	548
NCDN	1176	823	965	630	979	968
ADGRA2	917	231	224	488	278	675
CCT8L1P	0	3	0	0	0	0
ZFP64	1538	1300	1194	778	1413	1114
MNAT1	805	505	599	436	718	507
SAMD4A	464	396	380	278	447	355
RUNX3	380	255	264	171	316	315
MRE11	1403	871	865	692	1081	943
PLEKHB1	33	14	11	15	16	12
SERPINB1	1264	597	606	659	761	881
CYP3A43	0	0	0	0	0	0
SLC7A9	1	2	0	0	1	2
SPAST	728	384	430	360	498	457
NRXN3	53	15	9	18	17	34
OSBPL5	831	644	604	440	650	713
AQR	3971	3116	3228	1913	3870	2618
CPS1	23057	8872	8176	11679	11088	16045
C8B	0	4	0	0	0	0
FHL1	1426	936	852	765	1183	1075
RTF2	2496	1988	2171	1347	2326	1638
GABRA1	0	1	1	0	0	0
NLRP2	0	5	1	1	0	0
SLC45A4	284	147	178	127	180	198
RNF10	1193	895	895	550	970	802
ZNF839	152	92	89	76	99	106
ZDHHC6	1498	1077	1049	743	1319	1012
GRAMD1B	1984	804	828	994	1013	1475
RNH1	3383	2727	2624	1789	3018	2465
NDUFS1	6420	4763	4560	3221	6126	4300
RB1CC1	3226	1757	1798	1614	2204	1977
ERP44	1395	892	859	720	1024	1007
ALAS1	2335	2337	2232	1268	2837	1759
BIRC3	493	435	466	211	570	234
AKAP11	1435	971	893	730	1129	901
GLRX2	640	420	463	310	578	400
SNAPC1	266	400	420	122	508	158
DERA	799	518	534	389	623	490
STRAP	3412	2486	2739	1720	2983	2303
ABCC2	176	99	102	95	118	125
DEF6	4	4	2	3	1	4
PLEKHO1	287	296	331	147	301	212
GCLM	3688	3194	3386	2095	3850	2419
UBR2	2738	1752	1679	1381	2207	1889
EHD2	3250	2326	2791	1740	2709	2808
DEPDC1	1118	856	853	536	1061	676
CCDC28A	371	249	209	176	232	231
RRAGD	35	26	23	20	17	20
HSF2	416	185	205	223	297	263
PHF20	1626	1286	1470	893	1511	1194
HSD17B6	22	15	14	21	26	22
NR1H3	572	406	329	331	432	460
TYMP	4188	1949	2210	2339	1900	3320
NCAPH2	2215	1874	1902	1163	1884	1833
TOMM34	1419	1339	1257	716	1564	1005
SEC63	886	530	584	475	624	625
KPNA6	5541	4117	4211	2807	5295	4161
VIM	19755	15053	15291	10045	19701	13465
RTEL1-TNFRSF6B	122	108	85	47	91	108
FAS	1019	594	576	540	716	667
RNASET2	310	195	266	187	247	269
CD44	5377	4116	4322	2822	5093	4106
KCNG1	56	42	43	35	41	44
AGPAT4	630	404	355	314	480	421
SLAMF7	16	19	23	15	30	17
BTN3A1	2890	1460	1441	1508	1666	2044
MIPEP	292	221	233	129	274	166
PRKCH	147	137	166	84	179	106
INSRR	3	9	1	2	1	2
IFNGR1	1276	850	924	628	989	831
B4GALT7	722	564	573	370	615	607
SH2D2A	27	34	24	10	28	23
VRK2	642	394	441	327	531	399
TNFRSF1B	35	31	17	23	21	35
VEZT	1598	1018	1028	794	1419	1082
POU2F2	6	5	1	6	5	5
BRD9	3181	2480	2465	1742	2812	2536
SNX1	1633	1273	1145	816	1293	1228
TBPL1	631	479	437	308	555	340
ARNTL2	1120	831	879	548	1053	724
BCLAF1	4505	2864	2860	2292	3760	2790
SLC39A9	2713	1865	1826	1310	2411	1798
ANK1	389	102	83	200	77	329
IBSP	0	2	0	0	0	0
TFB1M	290	208	207	160	239	193
RABEP1	2317	1892	1931	1167	2203	1519
HMGB3	927	721	942	431	821	632
NUP160	6552	5364	5129	3417	6354	4537
BAK1	584	414	369	281	430	448
MUSK	2	0	0	3	2	2
IKZF2	963	312	310	476	409	623
GRN	7216	4223	4154	3736	4956	5797
FAM13B	1082	625	735	505	899	708
ARHGAP31	819	546	533	418	594	593
CENPQ	914	514	577	503	716	595
SARS1	4633	4274	4021	2326	4564	3344
RANBP3	1383	1039	1130	666	1153	980
ARID4A	468	264	281	260	323	304
EIPR1	1066	780	758	531	890	676
PNPLA6	1750	1350	1328	848	1431	1399
IFT88	163	108	129	78	147	96
ALG1	798	696	723	380	883	583
ZCCHC8	631	439	437	333	538	452
ABCF2	497	537	526	268	613	408
CHPF2	2810	2235	2127	1454	2427	2181
LRRC7	15	21	10	21	18	18
FUT8	760	465	417	410	568	488
UBA6	6574	4216	3928	3397	5140	4129
GAB2	667	680	690	298	904	494
ATP6V0A1	1169	1063	1021	638	1254	952
PIAS1	1681	1222	1134	884	1588	1203
SLC4A7	1475	1082	1077	762	1463	1024
APBA2	0	5	1	0	0	1
MAP2K3	257	245	267	148	286	189
EFCAB1	0	0	0	0	0	0
TMSB10	37811	22518	23895	18680	27040	24396
ASTE1	170	136	116	97	178	137
RNF19A	3624	1608	1652	1883	1861	2421
PEX3	746	582	540	385	710	483
GABARAPL2	1028	667	695	507	851	692
MYOC	0	0	0	0	0	0
SH3YL1	159	124	96	89	126	132
FAM136A	1134	795	822	582	940	763
VCL	12810	10839	11107	6476	13226	8980
DEPDC1B	507	371	406	244	506	298
DAPK2	279	142	110	137	125	202
NSMAF	785	705	657	362	807	517
ADSS2	2425	1562	1746	1246	2074	1572
STAP1	0	0	0	0	0	0
TIMP2	6940	4465	4679	3297	5654	5007
RFC1	3844	2418	2621	1992	3212	2536
TBC1D23	1727	1159	1105	897	1456	1143
CUL3	1529	1013	910	748	1225	980
MYOM2	0	9	1	0	0	0
OTC	0	0	0	0	0	0
CYP46A1	1	6	0	0	0	0
ZZZ3	3394	2233	2111	1725	2901	2210
SLC18A1	1	8	0	0	0	0
USP2	25	11	19	14	11	12
CASR	0	10	1	0	1	0
TUBG2	290	135	115	163	151	203
RPL26L1	568	681	676	289	786	397
FLT4	4	5	1	1	0	0
NSUN2	8199	7636	7875	4270	8311	5567
FBXO42	1141	842	765	540	998	817
MFAP3	1751	1155	1124	865	1354	1143
MRI1	586	356	351	338	397	479
METTL1	291	245	234	108	254	167
HOXC8	17	10	10	18	15	19
AGA	410	259	260	228	323	281
PI4K2B	1309	806	1017	740	1094	773
BOD1L1	3319	1908	1975	1687	2391	2356
MAT2B	3284	1877	1978	1732	2262	2078
TLL1	1959	1147	1154	974	1396	1355
EDC4	1730	1521	1333	839	1695	1426
TRIO	20772	19484	18780	9808	21042	15326
VCAN	43	33	25	35	30	22
CLEC16A	968	759	678	486	828	764
MSR1	4	3	1	1	3	2
CDH1	29	16	16	11	11	30
MTREX	2843	2212	2055	1480	2553	1937
DNAH5	169	138	127	85	157	109
ZFYVE16	3272	1985	1946	1667	2429	2054
RIPOR1	535	445	527	273	521	469
C6	6	0	2	3	2	6
RAI14	3678	3378	3564	1755	4088	2510
SOX30	8	6	7	5	11	7
PNKP	1126	660	680	693	621	1011
BEST2	0	2	0	1	1	0
PHLPP2	933	646	622	479	709	709
SPDL1	4079	3148	3494	2149	3914	2639
STAU2	861	402	433	423	606	518
SLC66A1	420	236	247	233	314	308
CTNS	580	491	393	310	648	478
RTN4R	103	113	98	38	124	71
PHF23	1650	1192	1387	845	1464	1247
CDH10	7	5	3	9	6	7
INPP4A	950	689	602	507	786	678
RAB27B	1660	555	605	859	747	981
PSMA4	10002	7280	7210	5242	8848	6374
MYO16	56	53	33	31	46	41
LSG1	1680	1694	1559	831	1904	1177
PARP3	1276	716	683	673	828	966
TNC	1045	526	472	525	577	717
THAP3	371	308	315	181	289	287
RIPOR3	19	13	4	8	7	12
TDP1	616	457	436	315	539	443
AIFM2	704	786	811	402	691	533
C2orf83	2	2	0	0	2	0
SPATA7	151	78	71	68	102	95
MED17	388	262	306	270	308	288
RETSAT	1264	969	911	724	1112	965
CAPG	5827	3798	3601	2974	3995	4218
AP2S1	3434	2373	2209	1702	2441	2417
USH2A	19	16	3	5	7	18
ZPBP	0	4	0	0	0	1
TG	0	17	0	0	0	1
ADAM28	3	3	2	1	0	0
BARX2	0	1	0	0	0	0
DCUN1D1	1102	810	804	585	1010	666
JADE2	5613	3583	3915	2675	3873	4146
ZIC2	71	35	60	32	48	55
LCP2	1	3	0	0	0	0
TRIT1	807	646	622	400	695	507
ADRB1	2	3	2	3	1	0
GUCA2B	0	1	0	0	0	1
CUL7	1164	660	597	583	746	898
CTNNA1	18929	13911	13662	9761	16424	13469
PHKA2	527	300	290	254	370	388
CNTLN	1462	726	810	759	935	968
EPHA3	80	51	42	32	55	63
HSPA5	8574	12134	15654	3977	10467	6298
DSG2	4468	3370	3595	2260	4100	3230
GEMIN8	100	76	58	49	80	69
OFD1	1115	499	519	555	666	707
GPM6B	63	40	45	38	48	40
MAGEC2	1	3	2	0	1	0
PREX2	0	8	0	0	0	0
WDR37	373	235	235	213	224	270
YTHDC2	1428	1004	1015	704	1191	1008
CTPS2	1064	565	583	512	756	749
ATP6V1H	1561	1029	1005	781	1299	1064
POLR2B	3369	2880	2687	1802	3411	2296
FAM214A	661	340	324	338	419	432
ARAP2	1142	673	748	592	917	630
TPR	10423	6140	6294	5346	7896	7312
CP	12	15	6	7	3	8
KATNIP	602	474	428	298	442	508
DTNBP1	82	57	55	49	51	85
XK	127	109	110	70	139	75
ANO2	61	78	74	25	79	36
C12orf4	1071	745	796	549	1008	663
SCML1	784	399	377	418	421	521
WWC3	1245	864	850	614	971	854
ARHGAP6	51	22	14	14	14	20
FAM184B	6	3	0	5	4	4
MAP4	9086	6535	7313	4460	8148	6705
GOPC	4079	2196	2246	2059	2633	2567
ROS1	493	36	40	240	51	334
USP28	1315	815	844	683	1044	933
HDAC9	83	91	71	39	75	61
TSPAN17	829	634	617	458	672	645
NOP16	345	317	347	173	342	250
CC2D2A	728	667	679	367	737	484
RRM2B	999	439	491	541	567	654
ZNF800	551	316	356	282	405	381
TNFRSF17	1	2	0	0	0	0
SNX29	589	371	374	271	423	408
LMO3	18	12	5	6	12	13
MRPS10	885	685	746	411	939	568
GUCA1A	0	0	0	0	0	0
RSF1	2099	1106	1370	1048	1324	1460
VPS13D	2470	1615	1475	1123	1928	1763
CELF2	28	20	22	16	31	38
FAM120A	4250	3014	3129	2256	3733	3255
R3HDM1	434	347	359	245	416	299
COL9A2	31	13	13	23	17	19
KITLG	1584	1255	1194	886	1622	947
ERCC8	319	284	249	170	306	211
ADAMTS6	3483	1221	1157	1846	1515	2327
H6PD	322	139	126	184	156	247
VAMP3	3355	1990	2100	1682	2588	2322
PER3	589	292	315	264	344	462
UTS2	0	1	0	0	0	0
TNFRSF9	5	4	4	3	1	1
EPN3	10	13	9	7	8	8
LTBP1	1296	572	512	632	665	882
RCN1	1205	1035	1139	633	1141	933
ELN	42	17	3	19	11	25
RFC2	2074	1608	1663	1066	1893	1550
ARID1B	2044	1234	1385	953	1390	1493
CLPTM1L	14152	12810	11891	7384	14163	10351
NEDD4L	1119	807	820	555	961	718
FOXP3	8	2	3	3	0	6
PPP1R3F	91	69	71	61	70	60
HEXB	3185	2206	2185	1721	2662	2101
PTCD2	899	558	525	488	753	569
NEXMIF	0	6	0	0	0	0
JKAMP	1742	1492	1252	905	1788	1129
DKK3	3533	1282	1359	1717	1453	2374
ARHGEF5	127	98	81	65	109	109
NFE2L3	572	399	404	287	489	444
MCUR1	1620	1144	1106	879	1480	1196
LIMA1	9200	9952	10613	4658	12649	5962
LETMD1	1037	555	497	549	638	759
SLC4A8	3	11	1	1	0	3
LAMC3	102	158	180	50	128	89
PTGER3	0	7	1	0	4	2
TNIP3	8	47	48	3	50	9
MAPK9	1117	797	860	520	957	771
COL23A1	5	6	3	1	3	7
BCAR1	1835	1753	2003	987	1770	1548
FAM160A2	692	568	476	367	631	562
HERPUD1	1086	881	911	551	1029	774
HOMER3	395	248	283	190	293	306
RAD51	20	19	16	14	20	15
POLQ	1413	953	924	724	1160	1045
PIK3CB	348	238	226	186	316	271
CYBA	2133	1089	1227	1090	1262	1651
THOC3	273	185	230	147	272	189
HEBP2	527	330	345	251	380	353
MPHOSPH9	1564	966	978	878	1292	1136
PLEKHA5	2511	1223	1233	1270	1559	1727
PRSS8	12	8	4	8	4	2
SIKE1	2115	1243	1334	1109	1472	1465
RRP12	888	1265	1216	461	1249	728
FNIP2	474	292	310	233	397	340
MSMO1	4039	3086	3432	2260	4277	2568
TTC17	3132	2266	2161	1499	2999	2185
ALX4	9	10	0	2	6	5
FSTL4	727	322	278	366	331	620
