# Argument List:
# Name = demo
# peak file = Analysis/MAX_HeLa_S3_chip_seq.bed
# distance = 100000 bp
#chrom	txStart	txEnd	refseq	score	strand	symbol	rank
chr1	155185823	155192915	NM_001204289	2.585	-	MUC1	40
chr1	155185823	155192915	NM_001204288	2.585	-	MUC1	41
chr1	155185823	155192915	NM_001204287	2.585	-	MUC1	42
chr1	155185823	155192915	NM_001044393	2.585	-	MUC1	43
chr1	155185823	155192915	NM_001204290	2.585	-	MUC1	44
chr1	155185823	155192915	NM_001204291	2.585	-	MUC1	45
chr1	155185823	155192915	NM_001018017	2.585	-	MUC1	46
chr1	155185823	155192915	NM_001044392	2.585	-	MUC1	47
chr1	155185823	155192915	NM_001204296	2.585	-	MUC1	48
chr1	155185823	155192915	NM_001204295	2.585	-	MUC1	49
chr12	52585588	52601538	NM_001146226	2.577	-	KRT72	50
chr12	52585588	52601538	NM_080747	2.577	-	KRT72	51
chr12	52585588	52601538	NM_001146225	2.577	-	KRT72	52
chr11	66744735	66843516	NM_001302084	2.574	+	C11orf80	53
chr11	66744735	66843516	NM_024650	2.574	+	C11orf80	54
chr11	61792636	61797242	NM_004111	2.565	+	FEN1	55
chr11	61789129	61792613	NM_014206	2.563	-	TMEM258	56
chr11	61792494	61792561	NR_030342	2.560	-	MIR611	57
chr1	155208698	155213839	NM_002455	2.525	+	MTX1	58
chr1	155208698	155213839	NM_198883	2.525	+	MTX1	59
chr1	155195587	155207981	NM_007112	2.517	-	THBS3	60
chr1	155195587	155207981	NR_045553	2.517	-	THBS3	61
chr1	155195587	155207981	NM_001252608	2.517	-	THBS3	62
chr1	155195587	155207981	NM_001252607	2.517	-	THBS3	63
chr7	1570072	1589625	NR_027329	2.514	+	PSMG3-AS1	64
chr7	1570072	1589625	NR_027328	2.514	+	PSMG3-AS1	65
chr7	1570072	1589625	NR_021487	2.514	+	PSMG3-AS1	66
chr7	1567333	1570032	NM_001134340	2.513	-	PSMG3	67
chr7	1567333	1569993	NM_032302	2.512	-	PSMG3	68
chr15	60681568	60687249	NR_120319	2.490	+	RORA-AS2	69
chr15	60681568	60687249	NR_120318	2.490	+	RORA-AS2	70
chr1	153661787	153671028	NM_004515	2.477	-	ILF2	71
chr1	153661787	153671028	NM_001267809	2.477	-	ILF2	72
chr11	65213839	65242757	NR_033396	2.450	+	SLC22A20	73
chr11	65213839	65226040	NM_001004326	2.450	+	SLC22A20	74
chr17	8120589	8124092	NM_032580	2.446	-	HES7	75
chr17	8120589	8124092	NM_001165967	2.446	-	HES7	76
chr16	66508002	66549825	NM_001272050	2.444	-	TK2	77
chr16	66508002	66550291	NM_001172643	2.426	-	TK2	78
chr16	66508002	66550291	NM_001271935	2.426	-	TK2	79
chr16	66508002	66550412	NM_004614	2.422	-	TK2	80
chr16	66508002	66550412	NM_001271934	2.422	-	TK2	81
chr16	66508002	66550412	NR_073520	2.422	-	TK2	82
chr16	66508002	66550412	NM_001172645	2.422	-	TK2	83
chr16	66508002	66550412	NM_001172644	2.422	-	TK2	84
chr16	680110	682768	NM_001293197	2.414	+	STUB1	85
chr16	680110	682768	NM_005861	2.414	+	STUB1	86
chr7	1542234	1556430	NM_001097620	2.407	-	TMEM184A	87
chr12	53380194	53416442	NM_001251825	2.405	+	SP1	88
chr12	53380194	53416442	NM_138473	2.405	+	SP1	89
chr12	12979836	12984642	NR_038920	2.403	+	LOC100506314	90
chr12	52609850	52615305	NR_126005	2.394	+	KRT73-AS1	91
chr12	53380643	53416442	NM_003109	2.389	+	SP1	92
chr5	172194171	172203454	NM_001171183	2.355	+	EFCAB9	93
chr17	8072635	8087703	NM_001139	2.337	-	ALOX12B	94
chr17	8088055	8088147	NR_036201	2.333	+	MIR4314	95
chr16	681666	684439	NM_001005920	2.330	-	JMJD8	96
chr1	153537146	153541765	NM_002962	2.317	-	S100A5	97
chr16	675665	678268	NM_001278721	2.277	+	RHBDL1	98
chr16	675665	678268	NM_001278720	2.277	+	RHBDL1	99
chr19	11164266	11197567	NM_001136191	2.270	-	KANK2	100
chr18	3603736	3610089	NR_119377	2.270	+	DLGAP1-AS2	101
chr16	66552562	66566287	NM_181641	2.267	+	CKLF	102
chr16	66552562	66566287	NM_181640	2.267	+	CKLF	103
chr16	66552562	66579135	NM_001202509	2.267	+	CKLF-CMTM1	104
chr16	66552562	66566287	NM_001040138	2.267	+	CKLF	105
chr16	66552562	66566287	NM_016326	2.267	+	CKLF	106
chr16	66552562	66566287	NM_016951	2.267	+	CKLF	107
chr16	66552562	66579135	NM_001204098	2.267	+	CKLF-CMTM1	108
chr16	66552562	66579135	NM_001204099	2.267	+	CKLF-CMTM1	109
chr1	153534599	153536241	NM_014624	2.254	-	S100A6	110
chr14	100882978	100883075	NR_029696	2.245	+	MIR127	111
chr14	104753132	104759659	NM_021709	2.232	+	SIVA1	112
chr14	104753132	104759659	NM_006427	2.232	+	SIVA1	113
chr14	100881885	100881978	NR_029966	2.223	+	MIR433	114
chr14	100884482	100884576	NR_030173	2.222	+	MIR432	115
chr1	32364632	32394461	NM_001143888	2.221	-	BSDC1	116
chr1	32364632	32394461	NM_001143889	2.221	-	BSDC1	117
chr1	32364632	32394461	NM_001143890	2.221	-	BSDC1	118
chr1	32364632	32394461	NM_018045	2.221	-	BSDC1	119
chr1	32364632	32394461	NR_125352	2.221	-	BSDC1	120
chr1	32364632	32394461	NM_001300958	2.221	-	BSDC1	121
chr14	100884701	100884783	NR_029699	2.217	+	MIR136	122
chr11	65653595	65662972	NM_001145138	2.217	-	RELA	123
chr11	65653595	65662972	NM_021975	2.217	-	RELA	124
chr11	65653595	65662972	NM_001243985	2.217	-	RELA	125
chr11	65653595	65662972	NM_001243984	2.217	-	RELA	126
chr14	100880654	100884847	NM_001134888	2.214	-	RTL1	127
chr17	8095899	8118916	NM_001165960	2.211	-	ALOXE3	128
chr12	12940774	12950384	NM_018654	2.211	-	GPRC5D	129
chr14	100881006	100881120	NR_029965	2.209	+	MIR431	130
chr5	43014728	43018811	NR_034086	2.201	-	LOC648987	131
chr5	43014728	43018811	NR_104649	2.201	-	LOC648987	132
chr5	43016047	43018811	NR_034085	2.201	-	LOC648987	133
chr17	8095899	8118542	NM_021628	2.196	-	ALOXE3	134
chr5	43014728	43019643	NR_104650	2.190	-	LOC648987	135
chr8	103819187	104254428	NM_014677	2.182	+	RIMS2	136
chr8	103819187	104254428	NM_001282881	2.182	+	RIMS2	137
chr14	100875032	100875104	NR_030617	2.178	+	MIR665	138
chr1	153545741	153551769	NR_125947	2.168	+	LOC101928034	139
chr1	153543618	153545806	NM_019554	2.163	-	S100A4	140
chr1	153543621	153545806	NM_002961	2.163	-	S100A4	141
chr9	97633422	97673747	NM_002486	2.162	+	NCBP1	142
chr11	61828032	61867354	NM_004265	2.158	+	FADS2	143
chr14	100874492	100874585	NR_029889	2.156	+	MIR337	144
chr9	97600079	97633680	NM_139246	2.153	-	TSTD2	145
chr1	153678687	153693992	NM_000906	2.149	+	NPR1	146
chr5	172042069	172188342	NM_005990	2.133	-	STK10	147
chr11	66638616	66668386	NM_001198844	2.132	+	RBM4	148
chr11	66638616	66646473	NM_001198843	2.132	+	RBM4	149
chr11	66638616	66646473	NM_002896	2.132	+	RBM4	150
chr18	3594113	3597379	NR_024101	2.121	+	DLGAP1-AS1	151
chr16	684621	690424	NM_001303027	2.119	-	WDR24	152
chr16	684621	690424	NM_032259	2.119	-	WDR24	153
chr3	195882328	195882395	NR_106887	2.107	-	MIR6829	154
chr12	12974864	13000309	NM_015987	2.105	-	HEBP1	155
chr12	13000441	13004830	NR_002774	2.101	+	HTR7P1	156
chr19	11164266	11194590	NM_015493	2.090	-	KANK2	157
chr17	38195739	38257249	NR_036750	2.087	-	LOC440434	158
chr10	113834723	113854216	NM_014881	2.086	-	DCLRE1A	159
chr10	113834723	113854404	NM_001271816	2.079	-	DCLRE1A	160
chr10	113854631	113912506	NM_198514	2.071	+	NHLRC2	161
chr11	11962995	12009370	NM_013253	2.064	-	DKK3	162
chr11	11962995	12009082	NM_015881	2.055	-	DKK3	163
chr3	149030116	149086554	NM_139048	2.054	-	HLTF	164
chr3	149030116	149086554	NM_003071	2.054	-	HLTF	165
chr11	66480012	66509659	NM_130443	2.045	+	DPP3	166
chr11	66480012	66509659	NM_005700	2.045	+	DPP3	167
chr11	66480012	66509659	NM_001256670	2.045	+	DPP3	168
chr3	149086331	149102823	NR_046648	2.040	+	HLTF-AS1	169
chr11	66473489	66480249	NR_120586	2.038	-	LOC101928069	170
chr11	11962995	12008639	NM_001018057	2.033	-	DKK3	171
chr1	155213824	155227534	NR_002188	2.026	-	GBAP1	172
chr2	47160081	47176601	NM_001743	2.025	-	CALM2	173
chr14	100894769	100906968	NR_024149	2.024	+	MEG8	174
chr3	195863364	195895561	NM_001010938	2.017	-	TNK2	175
chr3	187668905	187670413	NM_001048	2.014	-	SST	176
chr11	65181832	65212006	NM_005186	1.996	+	CAPN1	177
chr11	65181832	65212006	NR_040008	1.996	+	CAPN1	178
chr17	41722638	41734646	NM_177977	1.992	-	HAP1	179
chr17	41722638	41734646	NM_001079870	1.992	-	HAP1	180
chr17	41722638	41734646	NM_001079871	1.992	-	HAP1	181
chr11	65181678	65212006	NM_001198869	1.986	+	CAPN1	182
chr9	127612206	127692716	NM_003165	1.975	+	STXBP1	183
chr9	127612206	127692716	NM_001032221	1.975	+	STXBP1	184
chr10	102132993	102150333	NM_001288727	1.971	+	PPRC1	185
chr10	102132993	102150333	NM_001288728	1.971	+	PPRC1	186
chr10	102132993	102150333	NM_015062	1.971	+	PPRC1	187
chr19	49474208	49486231	NM_001278637	1.968	+	FLT3LG	188
chr19	49474208	49486231	NM_001459	1.968	+	FLT3LG	189
chr19	49474208	49486231	NM_001278638	1.968	+	FLT3LG	190
chr19	49474208	49486231	NM_001204502	1.968	+	FLT3LG	191
chr1	234724041	234731643	NR_038856	1.967	+	LINC01132	192
chr1	156082545	156137866	NM_001282625	1.961	+	LMNA	193
chr19	49474560	49486231	NM_001204503	1.960	+	FLT3LG	194
chr11	65181214	65212006	NM_001198868	1.957	+	CAPN1	195
chr9	93951626	93955326	NM_021570	1.945	-	BARX1	196
chr16	74712957	74774831	NM_024306	1.943	-	FA2H	197
chr1	156072012	156081998	NM_001093725	1.942	-	MEX3A	198
chr1	41361930	41383591	NM_001291281	1.939	+	FOXO6	199
chr12	52607569	52618559	NM_175068	1.934	-	KRT73	200
chr9	127505337	127579007	NM_001035534	1.934	-	FAM129B	201
chr14	100897919	100897996	NR_003080	1.931	+	SNORD112	202
chr2	28815996	28840809	NM_001008779	1.928	+	SPDYA	203
chr1	153547332	153549258	NM_002960	1.928	-	S100A3	204
chr5	10493526	10502728	NR_104606	1.922	-	LOC101929412	205
chr11	66664993	66677921	NM_001286135	1.918	-	RBM4B	206
chr11	66664993	66677921	NM_031492	1.918	-	RBM4B	207
chr19	1269267	1273172	NM_001280	1.916	+	CIRBP	208
chr19	1269267	1274809	NR_023312	1.916	+	CIRBP	209
chr19	1269267	1274809	NR_023313	1.916	+	CIRBP	210
chr19	1269265	1274809	NM_001300815	1.916	+	CIRBP	211
chr19	1269265	1273172	NM_001300829	1.916	+	CIRBP	212
chr1	168375523	168375621	NR_030284	1.909	+	MIR557	213
chr11	65084221	65088402	NM_006782	1.903	+	ZFPL1	214
chr19	1267470	1270260	NR_027271	1.903	-	CIRBP-AS1	215
chr10	102107565	102120453	NM_001113407	1.903	-	LDB1	216
chr11	65077454	65084143	NM_080668	1.902	-	CDCA5	217
chr8	38787203	38853028	NM_001122824	1.895	+	TACC1	218
chr8	38787203	38853028	NM_006283	1.895	+	TACC1	219
chr5	10564322	10657816	NM_001164440	1.892	+	ANKRD33B	220
chr12	9283656	9314088	NR_024374	1.892	+	LOC642846	221
chr9	33240197	33248567	NM_014471	1.886	+	SPINK4	222
chr5	17378905	17387310	NR_033975	1.885	-	LOC401177	223
chr19	1086578	1095392	NM_002695	1.873	-	POLR2E	224
chr12	13044380	13083449	NM_020853	1.871	+	KIAA1467	225
chr19	1103925	1106789	NM_002085	1.864	+	GPX4	226
chr19	1103925	1106789	NM_001039847	1.864	+	GPX4	227
chr15	67166154	67195195	NM_001145104	1.861	+	SMAD3	228
chr20	48921737	49036693	NM_006420	1.843	+	ARFGEF2	229
chr16	75148522	75172234	NM_153688	1.829	+	ZFP1	230
chr8	23191456	23225167	NM_003844	1.828	-	TNFRSF10A	231
chr8	23225220	23230926	NR_033928	1.825	+	LOC389641	232
chr20	45948652	45972194	NM_022095	1.819	-	ZNF335	233
chr7	6461080	6484218	NM_006854	1.819	-	KDELR2	234
chr7	6461080	6484218	NM_001100603	1.819	-	KDELR2	235
chr19	1104649	1106789	NM_001039848	1.816	+	GPX4	236
chr11	65649191	65649253	NR_039709	1.811	+	MIR4489	237
chr19	12825476	12834576	NM_001270442	1.811	-	RTBDN	238
chr19	12825476	12834576	NM_001270441	1.811	-	RTBDN	239
chr1	115976497	116070054	NM_018420	1.809	+	SLC22A15	240
chr10	102107565	102114966	NM_003893	1.809	-	LDB1	241
chr16	668082	674174	NM_138769	1.809	+	RHOT2	242
chr20	49046245	49096960	NM_001316	1.807	+	CSE1L	243
chr20	49046245	49096960	NM_001256135	1.807	+	CSE1L	244
chr20	49046245	49096960	NR_045796	1.807	+	CSE1L	245
chr11	118747763	118791263	NM_004397	1.804	-	DDX6	246
chr14	100869059	100869148	NR_030172	1.803	+	MIR493	247
chr20	49040462	49046056	NR_110624	1.802	-	CSE1L-AS1	248
chr20	49040462	49046056	NR_110625	1.802	-	CSE1L-AS1	249
chr11	118747763	118790948	NM_001257191	1.800	-	DDX6	250
chr7	5592804	5606656	NM_003088	1.798	+	FSCN1	251
chr8	144973588	145002899	NR_023392	1.792	-	ZNF252P	252
chr2	28810833	28850609	NM_182756	1.792	+	SPDYA	253
chr2	28810833	28850609	NM_001142634	1.792	+	SPDYA	254
chr11	66466864	66477337	NM_145065	1.790	+	PELI3	255
chr11	66466864	66477337	NM_001098510	1.790	+	PELI3	256
chr11	66466864	66477337	NM_001243136	1.790	+	PELI3	257
chr19	12825476	12835428	NM_031429	1.786	-	RTBDN	258
chr19	12825476	12835428	NM_001270440	1.786	-	RTBDN	259
chr8	145002810	145006046	NR_026974	1.786	+	ZNF252P-AS1	260
chr18	11857437	11885684	NM_001261444	1.786	+	GNAL	261
chr5	10277594	10308056	NM_138809	1.778	-	CMBL	262
chr12	52565818	52573825	NM_175053	1.778	-	KRT74	263
chr11	66466326	66477337	NM_001243135	1.777	+	PELI3	264
chr11	20387529	20509333	NM_005788	1.775	+	PRMT3	265
chr11	20387529	20509333	NM_001145166	1.775	+	PRMT3	266
chr11	20387529	20509333	NM_001145167	1.775	+	PRMT3	267
chr15	67138020	67195195	NM_001145103	1.772	+	SMAD3	268
chr1	153658653	153661852	NM_012437	1.772	+	SNAPIN	269
chr1	153658653	153661852	NR_052020	1.772	+	SNAPIN	270
chr1	153658653	153661852	NR_052019	1.772	+	SNAPIN	271
chr19	3572944	3579083	NM_006339	1.770	+	HMG20B	272
chr9	97674908	97697409	NM_000380	1.766	-	XPA	273
chr9	97674908	97697409	NR_027302	1.766	-	XPA	274
chr19	3544198	3557584	NM_174983	1.763	-	MFSD12	275
chr19	3544198	3557584	NM_001287529	1.763	-	MFSD12	276
chr17	72645945	73092714	NM_001159770	1.762	-	SLC39A11	277
chr17	72645945	73092714	NM_139177	1.762	-	SLC39A11	278
chr10	112634169	112634254	NR_036177	1.761	+	MIR4295	279
chr1	207496127	207641765	NM_000573	1.760	+	CR1	280
chr1	207496127	207641765	NM_000651	1.760	+	CR1	281
chr1	115922572	115977276	NR_125970	1.754	-	LOC101928977	282
chr11	10308312	10430673	NR_103765	1.750	+	CAND1.11	283
chr11	65088371	65089109	NM_001282448	1.749	-	TMEM262	284
chr11	65088371	65089109	NM_001242631	1.749	-	TMEM262	285
chr9	123485528	123485622	NR_106972	1.744	-	MIR7150	286
chr12	13046190	13046240	NR_106988	1.744	+	MIR7641-2	287
chr19	1275520	1279244	NM_017914	1.738	+	C19orf24	288
chr19	39863322	39934626	NM_003890	1.729	-	FCGBP	289
chr11	66616581	66629926	NM_001198837	1.729	+	RBM14	290
chr11	66616581	66646473	NM_001198845	1.729	+	RBM14-RBM4	291
chr11	66616581	66646473	NM_001198846	1.729	+	RBM14-RBM4	292
chr11	66616581	66629926	NM_001198836	1.729	+	RBM14	293
chr11	66616581	66629926	NM_006328	1.729	+	RBM14	294
chr11	62337301	62393415	NM_001083926	1.727	+	ASRGL1	295
chr11	62337301	62393415	NM_025080	1.727	+	ASRGL1	296
chr1	155174753	155184971	NM_001256601	1.724	+	TRIM46	297
chr1	155174753	155184971	NR_046329	1.724	+	TRIM46	298
chr5	10478036	10478145	NR_106747	1.724	+	MIR6131	299
chr11	65044822	65058537	NM_005468	1.722	-	NAALADL1	300
chr19	48813016	48836677	NM_016246	1.719	-	HSD17B14	301
chr11	68891277	68903835	NM_181515	1.717	-	MRPL21	302
chr11	68891277	68903835	NM_181514	1.717	-	MRPL21	303
chr11	68903850	68940601	NM_002180	1.717	+	IGHMBP2	304
chr2	28849820	28870309	NM_017910	1.711	-	TRMT61B	305
chr19	12838444	12874952	NM_014975	1.711	+	MAST1	306
chr11	94466494	94466580	NR_031630	1.704	-	MIR548L	307
chr1	211743456	211830772	NM_014873	1.700	-	LPGAT1	308
chr1	155173786	155184971	NM_001282378	1.697	+	TRIM46	309
chr1	155173786	155184971	NM_001256600	1.697	+	TRIM46	310
chr1	155173786	155184971	NM_001256599	1.697	+	TRIM46	311
chr1	155173786	155184971	NR_046327	1.697	+	TRIM46	312
chr1	155173786	155180615	NM_001282379	1.697	+	TRIM46	313
chr1	155173786	155180615	NR_104150	1.697	+	TRIM46	314
chr1	155173786	155184971	NM_025058	1.697	+	TRIM46	315
chr10	89592746	89592827	NR_029524	1.693	-	MIR107	316
chr17	57861242	57903389	NM_001292025	1.692	-	CUEDC1	317
chr1	155169407	155173328	NM_173852	1.685	-	KRTCAP2	318
chr11	64103889	64119173	NM_013280	1.684	+	FLRT1	319
chr5	35856874	35879603	NM_002185	1.684	+	IL7R	320
chr5	35856874	35879603	NR_120485	1.684	+	IL7R	321
chr20	36751790	36773827	NM_001145315	1.681	-	DSN1	322
chr20	36751790	36773827	NM_001145317	1.681	-	DSN1	323
chr20	36751790	36773827	NM_001145318	1.681	-	DSN1	324
chr20	36751790	36773751	NM_001145316	1.681	-	DSN1	325
chr20	36751790	36773751	NM_024918	1.681	-	DSN1	326
chr16	69424594	69466264	NM_030579	1.680	+	CYB5B	327
chr6	2987966	2991171	NR_026856	1.678	+	LINC01011	328
chr6	2987966	2991171	NR_026855	1.678	+	LINC01011	329
chr20	34466324	34466418	NR_030374	1.676	+	MIR644A	330
chr17	43211826	43220037	NM_001291587	1.676	+	TMEM106A	331
chr17	43211826	43220037	NM_001291586	1.676	+	TMEM106A	332
chr17	43211826	43220037	NM_001291588	1.676	+	TMEM106A	333
chr17	43211826	43220037	NM_145041	1.676	+	TMEM106A	334
chr19	1229947	1237991	NM_152769	1.675	-	C19orf26	335
chr10	95194199	95228929	NM_207321	1.666	+	ACSM6	336
chr1	155234447	155241275	NM_001171812	1.666	-	GBA	337
chr1	155234447	155241278	NM_000157	1.666	-	GBA	338
chr5	43039079	43040345	NM_001014279	1.663	-	ANXA2R	339
chr15	67125715	67195195	NM_001145102	1.663	+	SMAD3	340
chr10	112149863	112183779	NM_020918	1.663	-	GPAM	341
chr10	112149863	112183779	NM_001244949	1.663	-	GPAM	342
chr5	43042133	43045268	NR_015447	1.658	+	LOC153684	343
chr1	92218015	92245810	NM_001012425	1.653	+	C1orf146	344
chr17	48997411	49056145	NM_006546	1.652	+	IGF2BP1	345
chr17	48997411	49056145	NM_001160423	1.652	+	IGF2BP1	346
chr8	126552437	126558466	NM_174911	1.650	-	FAM84B	347
chr19	49487553	49492307	NR_073024	1.649	+	RPL13A	348
chr19	49487553	49492307	NM_012423	1.649	+	RPL13A	349
chr19	49487553	49492307	NM_001270491	1.649	+	RPL13A	350
chr12	53307455	53321628	NM_001173466	1.644	-	AAAS	351
chr12	53307455	53321628	NM_015665	1.644	-	AAAS	352
chr9	127505337	127569117	NM_022833	1.643	-	FAM129B	353
chr19	12891128	12899999	NR_102317	1.640	+	GCDH	354
chr19	12891128	12899999	NR_102316	1.640	+	GCDH	355
chr19	12891128	12899999	NM_013976	1.640	+	GCDH	356
chr19	12891128	12899999	NM_000159	1.640	+	GCDH	357
chr20	46021689	46060150	NM_001134771	1.634	+	SLC12A5	358
chr15	40872213	40874289	NM_133639	1.633	-	RHOV	359
chr1	225919876	225924340	NM_001271681	1.632	-	PYCR2	360
chr1	225919876	225924340	NM_013328	1.632	-	PYCR2	361
chr9	130172577	130237304	NM_014286	1.627	+	NCS1	362
chr7	154943689	155002972	NM_007349	1.625	-	PAXIP1	363
chr11	72189557	72196323	NM_016724	1.625	+	FOLR1	364
chr11	72189557	72196323	NM_016725	1.625	+	FOLR1	365
chr18	11851389	11854449	NM_020412	1.623	+	CHMP1B	366
chr19	12825476	12830675	NM_001270445	1.623	-	RTBDN	367
chr19	12825476	12830675	NM_001270444	1.623	-	RTBDN	368
chr19	12825476	12830675	NM_001270443	1.623	-	RTBDN	369
chr11	65096114	65111860	NR_073519	1.623	+	VPS51	370
chr11	65096114	65111860	NM_013265	1.623	+	VPS51	371
chr14	100911138	100911213	NR_029863	1.622	+	MIR370	372
chr11	72189914	72196323	NM_000802	1.621	+	FOLR1	373
chr12	120640618	120667324	NM_001033677	1.620	+	CABP1	374
chr1	204368429	204369719	NR_027022	1.620	-	LINC00628	375
chr1	235065473	235069818	NR_027454	1.614	-	LINC01348	376
chr2	28496070	28643787	NM_001170585	1.614	+	PLB1	377
chr2	28496070	28643787	NM_153021	1.614	+	PLB1	378
chr7	155003432	155005703	NR_028090	1.613	+	PAXIP1-AS1	379
chr12	125326615	125662377	NM_052907	1.612	+	TMEM132B	380
chr11	72239076	72244176	NM_005169	1.610	-	PHOX2A	381
chr19	12825476	12830416	NM_001080997	1.609	-	RTBDN	382
chr11	72192128	72196323	NM_016729	1.606	+	FOLR1	383
chr9	127424373	127445372	NM_001286697	1.604	+	ZNF79	384
chr9	127424373	127445372	NM_001286696	1.604	+	ZNF79	385
chr9	127424373	127445372	NM_001286698	1.604	+	ZNF79	386
chr9	127424373	127445372	NM_007135	1.604	+	ZNF79	387
chr5	16473037	16508998	NM_019000	1.602	-	FAM134B	388
chr12	53326575	53344793	NM_001300837	1.595	-	SP7	389
chr1	27872542	27886685	NM_001286115	1.594	+	THEMIS2	390
chr1	27872542	27886685	NM_001286113	1.594	+	THEMIS2	391
chr1	27872542	27886685	NM_001105556	1.594	+	THEMIS2	392
chr1	27872542	27886685	NM_004848	1.594	+	THEMIS2	393
chr1	27872542	27886685	NM_001039477	1.594	+	THEMIS2	394
chr19	1241749	1244825	NM_001687	1.593	+	ATP5D	395
chr19	1241749	1244825	NM_001001975	1.593	+	ATP5D	396
chr12	56470943	56488414	NM_001280796	1.592	-	GLS2	397
chr12	56470943	56488414	NM_001280797	1.592	-	GLS2	398
chr12	56470943	56488414	NM_001280798	1.592	-	GLS2	399
chr12	56470943	56488414	NM_013267	1.592	-	GLS2	400
chr12	120650506	120667324	NM_004276	1.587	+	CABP1	401
chr12	120650506	120667324	NM_031205	1.587	+	CABP1	402
chr3	195068283	195271166	NM_152531	1.584	-	XXYLT1	403
chr19	49489965	49490047	NR_000021	1.578	+	SNORD32A	404
chr8	22042752	22048808	NM_001304478	1.576	+	FGF17	405
chr8	22042752	22048808	NM_003867	1.576	+	FGF17	406
chr10	87396573	87407700	NR_046091	1.576	-	LINC00864	407
chr5	150401636	150412936	NM_004355	1.575	-	CD74	408
chr5	150401636	150412936	NM_001025159	1.575	-	CD74	409
chr5	150401636	150412936	NM_001025158	1.575	-	CD74	410
chr19	1407568	1435687	NM_170711	1.575	+	DAZAP1	411
chr19	1407568	1435687	NM_018959	1.575	+	DAZAP1	412
chr16	29830514	29848039	NM_001293204	1.574	+	MVP	413
chr16	29830514	29848039	NM_001293205	1.574	+	MVP	414
chr20	46008907	46016561	NM_004994	1.571	+	MMP9	415
chr4	40335328	40355217	NM_017581	1.568	+	CHRNA9	416
chr9	137299630	137302251	NM_001004354	1.567	-	NRARP	417
chr6	2999815	3019876	NM_000904	1.566	+	NQO2	418
chr6	2999815	3019876	NM_001290222	1.566	+	NQO2	419
chr6	2999815	3019876	NM_001290221	1.566	+	NQO2	420
chr17	8144993	8145071	NR_106943	1.563	-	MIR6883	421
chr19	49490616	49490699	NR_000020	1.561	+	SNORD33	422
chr2	11534115	11642786	NM_014668	1.560	+	GREB1	423
chr14	77474394	77498867	NM_182509	1.558	-	ISM2	424
chr14	77474394	77498867	NM_199296	1.558	-	ISM2	425
chr14	100938186	100938263	NR_003233	1.557	+	SNORD113-5	426
chr1	154944082	154956091	NM_020524	1.556	-	PBXIP1	427
chr19	12884422	12887203	NM_006563	1.555	-	KLF1	428
